"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","23933","Valid Gallery page Footer","chromium","Tue Aug 12 03:20:46 BST 2025","passed","Tue Aug 12 03:21:10 BST 2025","Gallery page footer","tests\features\footerGallery.feature.spec.js","",""
"","13243","test","chromium","Mon Aug 11 08:07:58 BST 2025","passed","Mon Aug 11 08:08:11 BST 2025","","login.spec.js","",""
"","20930","Valid Gallery page Footer","webkit","Tue Aug 12 03:20:46 BST 2025","passed","Tue Aug 12 03:21:07 BST 2025","Gallery page footer","tests\features\footerGallery.feature.spec.js","",""
"","7046","has title","firefox","Mon Aug 11 08:08:01 BST 2025","passed","Mon Aug 11 08:08:08 BST 2025","","example.spec.js","",""
"","19633","test","firefox","Mon Aug 11 08:08:15 BST 2025","passed","Mon Aug 11 08:08:34 BST 2025","","footerAboutUs.spec.js","",""
"","2179","has title","webkit","Mon Aug 11 08:08:50 BST 2025","passed","Mon Aug 11 08:08:52 BST 2025","","example.spec.js","",""
"","24076","test","firefox","Mon Aug 11 08:08:16 BST 2025","passed","Mon Aug 11 08:08:40 BST 2025","","footerBiography.spec.js","",""
"","27504","Valid Award page Footer","chromium","Mon Aug 11 15:10:44 BST 2025","passed","Mon Aug 11 15:11:12 BST 2025","Award page footer","tests\features\footerAwards.feature.spec.js","",""
"","20017","test","webkit","Mon Aug 11 08:08:55 BST 2025","passed","Mon Aug 11 08:09:15 BST 2025","","footerAboutUs.spec.js","",""
"","127","Valid subscribe button","chromium","Mon Aug 11 09:51:27 BST 2025","passed","Mon Aug 11 09:51:27 BST 2025","Subscribe on Home page","tests\features\login.feature.spec.js","",""
"","11896","test","firefox","Mon Aug 11 08:08:10 BST 2025","passed","Mon Aug 11 08:08:22 BST 2025","","footerAward.spec.js","",""
"","12095","test","webkit","Mon Aug 11 08:09:13 BST 2025","passed","Mon Aug 11 08:09:25 BST 2025","","footerMovieTeaser.spec.js","",""
"","11947","test","webkit","Mon Aug 11 08:09:04 BST 2025","passed","Mon Aug 11 08:09:16 BST 2025","","footerGallery.spec.js","",""
